eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
VisualA_VisualB,-194.03612325480208,-0.0655418909324692,-0.0380984637037166,-348.1161551470346,0.054011916250194074,-0.1890797828613737
VisualA_SensorimotorA,-204.13587133619876,0.35672781706908985,-0.2968047895138987,-368.31565130982796,-0.645885219995081,1.0775960631592785
VisualA_SensorimotorB,-2402.832096315542,0.371504688223697,-0.3833680740682714,-4765.708101268515,-0.7414135234027965,1.7967249478520262
VisualA_DorsalAttnA,-1705.1669376728569,-0.03045722831995712,0.16124519689662242,-3370.377783983144,-0.1433561492205965,0.5258576265861186
VisualA_DorsalAttnB,-2315.7281860805997,0.28067652896963236,-0.1494847563879038,-4591.50028079863,-0.3493879241716225,1.040894717197455
VisualA_VentralAttnA,-4191.173758864097,0.25254938581667563,-0.27569538137572586,-8342.391426365624,-0.11267695194312678,0.9170095021925113
VisualA_VentralAttnB,-4340.095898284417,0.3103647048874697,-0.3347501219552409,-8640.235705206263,-0.44667059648506585,0.9416952422478903
VisualA_LimbicA,-4337.713866453776,0.07141230917233121,-0.14656543697541685,-8635.471641544982,-0.33118137856463764,0.5808647887533674
VisualA_LimbicB,-4573.767413511934,0.02991937885804119,-0.09136920166072499,-9107.578735661298,0.09240907412610849,0.8281697711635113
VisualA_ControlA,-3207.3782213938393,-0.037980235690760145,0.03830088244440332,-6374.8003514251095,0.7321415342121153,1.356629692304061
VisualA_ControlB,-4335.585368496533,0.1920438452457226,-0.12019390648960616,-8631.214645630496,-0.29587968581543317,0.24582098010559741
VisualA_ControlC,-4149.714387433247,0.28592431267212304,-0.2849475557184036,-8259.472683503924,-0.048153291956997475,0.3456795999063285
VisualA_DefaultA,-2136.971721322223,0.3281952432763575,-0.3349392886339926,-4233.987351281877,-0.45375814773969597,0.32306991226811366
VisualA_DefaultB,-2361.8162609720966,0.1990953505808517,-0.10122896306687468,-4683.676430581624,-0.08141843130068568,-0.08204375810127167
VisualA_DefaultC,-3074.698295451826,0.27513487199354114,-0.2148830581470406,-6109.440499541083,0.10617979362625396,0.9374737369983996
VisualA_TemporalParietal,-3957.3274038538184,0.464467248300638,-0.5029530855222584,-7874.698716345068,-0.20298001669073254,0.6231802814202905
VisualB_SensorimotorA,-405.37779980398204,0.15481848580933655,-0.12635418555518652,-770.7995082453945,-0.6720083556110644,1.9936816181266697
VisualB_SensorimotorB,-2226.467513868396,0.23090910629234662,-0.17529628032540637,-4412.978936374223,-0.19990226934516428,0.5220469208413342
VisualB_DorsalAttnA,-2686.7239657924365,0.033408867515766105,-0.09883955466268542,-5333.491840222304,0.19538561969116072,0.12940709343103587
VisualB_DorsalAttnB,-3531.0708079584965,0.07338611940784179,-0.05189587968565589,-7022.185524554424,-0.19775131210083916,1.0200508546844678
VisualB_VentralAttnA,-3998.8675198979563,-0.0043940029081821486,-0.05662060045646731,-7957.778948433343,0.05020374456342374,0.41794559671111914
VisualB_VentralAttnB,-4097.59742417075,0.10598158924627599,-0.09867165866144863,-8155.238940587294,-0.09233489641362967,0.1628078266804551
VisualB_LimbicA,-5116.498542812027,0.15275244510914454,-0.033207735133367784,-10193.040994261484,-0.45138715752366776,0.6052958022381711
VisualB_LimbicB,-5095.24920681202,0.0714883047305368,0.013840372031996728,-10150.542505869835,-0.3438115513247527,0.3296288215931055
VisualB_ControlA,-3691.4117138779184,0.14388945166443712,-0.04467966713698925,-7342.867336393268,0.37921836787458874,0.28014309942069043
VisualB_ControlB,-4904.728003454458,0.04732141988599148,-0.008966978623722257,-9769.500099154711,-0.03248103039565738,0.7176156793453546
VisualB_ControlC,-4609.959852480334,0.15391554909657557,-0.08513772006152494,-9179.963797206463,-0.4264873131182577,0.2038896950281778
VisualB_DefaultA,-1717.1691308982295,0.28879810450026655,-0.19533916417584715,-3394.3821704338893,-0.2160824440263933,0.3954914077005688
VisualB_DefaultB,-2640.337006223406,0.28400427900959857,-0.16974918208298018,-5240.717921084243,-0.053092049375833034,0.08639533668539622
VisualB_DefaultC,-2798.721414704618,0.40569664731355637,-0.3029127548556654,-5557.486738046667,-0.7702945410705974,1.1266059160255404
VisualB_TemporalParietal,-3466.010257423713,0.33724378738131977,-0.2726304452401971,-6892.06460709322,-0.4203284689637027,0.2725309765929943
SensorimotorA_SensorimotorB,-1886.334573415259,0.13334385966217,0.47254583238548586,-3732.7130554679484,0.01771409116755433,0.5264880335082489
SensorimotorA_DorsalAttnA,-1531.622476968907,0.21184995105516868,-0.09858314679840015,-3023.2888625752444,-0.37966922482351806,0.2120430162055619
SensorimotorA_DorsalAttnB,-1150.1189317276512,0.07759470876905794,0.11962258391925545,-2260.281772092733,-0.3540152446837569,0.41848667392012423
SensorimotorA_VentralAttnA,-2315.2901372269816,-0.008934932452175692,0.21592875153683735,-4590.624183091394,-0.17000004401370133,0.17211563058249488
SensorimotorA_VentralAttnB,92.16678417587536,0.06496364871283289,0.0003270218219819122,224.2896597143203,-0.30089452924398086,0.6569877634959028
SensorimotorA_LimbicA,-3141.0358076480934,-0.07731948724360205,-0.13310309439836454,-6242.115523933618,0.24415731469693988,-0.030699155094789002
SensorimotorA_LimbicB,-3390.0307396738463,-0.03536461950550729,-0.015730470636156936,-6740.105387985123,0.40821723884520816,0.8716296162650256
SensorimotorA_ControlA,-2413.6518821774407,0.17686907928011752,-0.04738825532432956,-4787.347672992312,0.1551004731140618,-0.29131373894862306
SensorimotorA_ControlB,-2553.9430703398707,0.18393472690546575,-0.060077878101707165,-5067.930049317172,0.10334515476821206,0.7028566567484293
SensorimotorA_ControlC,-1541.1001309355715,0.2234092890212701,-0.08214572029158183,-3042.2441705085735,0.5218024600306833,1.145514623272318
SensorimotorA_DefaultA,-1091.3622692051758,0.292872549213937,-0.18464174849081713,-2142.768447047782,-0.17038473499912024,-0.263189583046161
SensorimotorA_DefaultB,-2991.2288432327696,0.32538168558625136,-0.10925187349864729,-5942.50159510297,-0.16630999201455282,-0.19484546831122052
SensorimotorA_DefaultC,-2646.4957310131995,0.3594799880109565,-0.18394243859557044,-5253.03537066383,0.12476050146069913,1.6336803677961695
SensorimotorA_TemporalParietal,-2169.7782122481335,0.40360316372450433,-0.09361155226473045,-4299.600333133698,0.19387724613954552,1.4348859025345506
SensorimotorB_DorsalAttnA,-2075.6166159113673,0.3414458053226169,-0.2191233981359154,-4111.277140460165,-0.5237382491660554,0.5399596388248652
SensorimotorB_DorsalAttnB,-1776.7769600798347,0.14113612466461845,0.16552023054878995,-3513.5978287970997,-0.6579745371796908,1.4919586755914866
SensorimotorB_VentralAttnA,-1997.5650429987654,0.021399404152983692,0.035045834390451024,-3955.173994634961,-0.22547881190762895,0.15416348542214373
SensorimotorB_VentralAttnB,-1728.50572816157,0.1065009084595524,-0.004496176526582686,-3417.0553649605704,0.14862977575212838,0.27164067850504153
SensorimotorB_LimbicA,-2945.794235894675,0.05467795543851761,-0.08411430526381077,-5851.63238042678,0.13383166200106095,-0.11971115324231309
SensorimotorB_LimbicB,-3477.8587510425423,0.03785175688832443,-0.18947465111646655,-6915.761594330878,0.05051394810508099,-0.01343467057134228
SensorimotorB_ControlA,-3502.4241779582353,0.23984644365272845,-0.0859339515635974,-6964.892264553901,0.15301993775969733,-0.4594942797043262
SensorimotorB_ControlB,-2454.2898975641847,0.2371704209266441,-0.06621655901949115,-4868.6237037658,-0.16158608778829586,0.5970290751228369
SensorimotorB_ControlC,-2349.0065965574104,0.27934224398005736,0.03240528037137106,-4658.057101752252,0.5956975911164718,0.7456961687456265
SensorimotorB_DefaultA,1273.4997951732876,0.17995541385034608,-0.060797487461286354,2586.9556817091448,-0.3436626775360739,-0.268053601600177
SensorimotorB_DefaultB,-1723.2524668318815,0.4190874747007909,-0.20225668420296902,-3406.5488423011934,-0.49574302159923855,0.2518956333972842
SensorimotorB_DefaultC,-1631.5461895258213,0.40729353590489925,0.045470628668336455,-3223.136287689073,0.07317409023962328,0.2586823450661721
SensorimotorB_TemporalParietal,-947.3668263549312,0.44903700781078204,-0.09031744618073412,-1854.7775613472927,-0.009120529299872287,-0.16502795815281507
DorsalAttnA_DorsalAttnB,-3273.8790368618575,-0.0239546335978702,0.11098809639916112,-6507.801982361146,-0.3631027558380332,0.27805214009290313
DorsalAttnA_VentralAttnA,-4132.162271459754,0.22075139279903744,-0.17052878398210666,-8224.368451556938,-0.17604299019943123,0.2780651563917727
