participant_id,age,sex,site
sub-NDARINV003RTV85,10.91666667,0,site06
sub-NDARINV005V6D2C,10.08333333,0,site10
sub-NDARINV007W6H7B,10.5,1,site22
sub-NDARINV00BD7VDC,9.333333333,1,site07
sub-NDARINV00CY2MDM,10.83333333,1,site20
sub-NDARINV00HEV6HB,10.33333333,1,site12
sub-NDARINV00J52GPG,9.166666667,1,site17
sub-NDARINV00LH735Y,9.083333333,1,site03
sub-NDARINV00NPMHND,9.833333333,0,site17
sub-NDARINV00R4TXET,9.5,0,site06
sub-NDARINV00U4FTRU,10.83333333,0,site04
sub-NDARINV00UMK5VC,9.916666667,0,site12
sub-NDARINV00X2TBWJ,10.83333333,0,site14
sub-NDARINV010ZM3H9,9.333333333,1,site12
sub-NDARINV014RTM1V,9.583333333,1,site17
sub-NDARINV0182J779,9.25,0,site06
sub-NDARINV0191C80U,9.083333333,1,site04
sub-NDARINV019DXLU4,10.91666667,0,site19
sub-NDARINV01AJ15N9,10.25,1,site16
sub-NDARINV01ELX9L6,9.0,0,site04
sub-NDARINV01EN91PG,9.416666667,0,site19
sub-NDARINV01NAYMZH,10.75,1,site16
sub-NDARINV01RGTWD2,9.25,0,site02
sub-NDARINV01TXCDJN,9.083333333,0,site20
sub-NDARINV01Z8HAPV,10.16666667,0,site02
sub-NDARINV021403LF,9.083333333,1,site05
sub-NDARINV021N0FLH,9.583333333,0,site07
sub-NDARINV022ZVCT8,9.666666667,0,site16
sub-NDARINV028D3ELL,9.083333333,0,site01
sub-NDARINV028WCTG6,9.666666667,1,site12
sub-NDARINV02EBX0JJ,9.75,1,site02
sub-NDARINV02H7G2T6,9.916666667,0,site17
sub-NDARINV02JXJUZG,9.833333333,0,site14
sub-NDARINV02RCED7D,10.16666667,1,site06
sub-NDARINV02UVMTY7,10.83333333,0,site02
sub-NDARINV02WP3TP6,9.5,1,site13
sub-NDARINV030W95VP,10.66666667,0,site19
sub-NDARINV030X9ZNH,10.5,0,site11
sub-NDARINV0314RN9P,9.166666667,1,site17
sub-NDARINV03BDCNWM,9.583333333,0,site13
sub-NDARINV03CV8RDT,10.66666667,1,site09
sub-NDARINV03KMHMJJ,10.25,1,site07
sub-NDARINV03NW0RKL,9.916666667,0,site17
sub-NDARINV03XVEBPM,10.0,0,site08
sub-NDARINV03YU08FA,9.083333333,0,site10
sub-NDARINV040B4TRC,9.25,1,site06
sub-NDARINV042UJKFB,10.66666667,0,site14
sub-NDARINV04BFG4JM,10.91666667,1,site17
sub-NDARINV04CLBZAD,9.333333333,1,site11
sub-NDARINV04EUBGTM,10.83333333,1,site15
sub-NDARINV04GAB2AA,10.83333333,0,site08
sub-NDARINV04JY6730,9.166666667,0,site11
sub-NDARINV04P0G6LK,10.5,0,site12
sub-NDARINV04R9REGF,10.5,1,site09
sub-NDARINV04TRXUGL,10.0,0,site06
sub-NDARINV04YC4RXD,10.16666667,1,site19
sub-NDARINV052HU3CU,10.25,1,site15
sub-NDARINV056V9RRJ,10.25,0,site10
sub-NDARINV059VLAHF,9.25,0,site16
sub-NDARINV05ATJ1V1,10.91666667,1,site18
sub-NDARINV05CA3VX5,10.66666667,0,site20
sub-NDARINV05LGG3GZ,10.16666667,1,site08
sub-NDARINV05T64PXD,9.083333333,0,site17
sub-NDARINV05WK8AN7,10.41666667,1,site03
sub-NDARINV05YY477E,9.75,1,site16
sub-NDARINV06BKAHN5,9.083333333,0,site14
sub-NDARINV06DE9Y0L,9.0,1,site10
sub-NDARINV06DJHEV0,10.16666667,1,site02
sub-NDARINV06DP74KL,10.66666667,1,site16
sub-NDARINV06DX0E7R,9.25,1,site18
sub-NDARINV06LWXY67,10.91666667,1,site10
sub-NDARINV06TBFD6R,9.666666667,1,site17
sub-NDARINV06U4DYFY,10.66666667,1,site12
sub-NDARINV06WHVUPX,9.916666667,1,site16
sub-NDARINV07924XF1,10.41666667,1,site13
sub-NDARINV07BR8GMY,10.25,1,site02
sub-NDARINV07CMT243,10.25,0,site10
sub-NDARINV07HGA3B7,9.5,0,site16
sub-NDARINV07K2M5P4,10.16666667,1,site06
sub-NDARINV07RAHHYH,9.916666667,0,site08
sub-NDARINV07RPB2TU,9.916666667,1,site05
sub-NDARINV07THBLHG,9.166666667,1,site16
sub-NDARINV07XG8391,10.58333333,1,site14
sub-NDARINV07XXFHDK,10.25,1,site06
sub-NDARINV085CYDEZ,9.083333333,1,site16
sub-NDARINV086114AT,10.25,0,site06
sub-NDARINV086U18RD,9.666666667,1,site02
sub-NDARINV08894886,10.5,0,site01
sub-NDARINV08AT7TLH,10.58333333,0,site06
sub-NDARINV08DNLREC,10.0,1,site20
sub-NDARINV08EFDKZ6,10.91666667,1,site19
sub-NDARINV08FUB58A,9.833333333,0,site04
sub-NDARINV08J0E48V,10.5,0,site11
sub-NDARINV08K0R9C4,10.58333333,1,site11
sub-NDARINV08K8VF33,9.833333333,0,site04
sub-NDARINV08P1JKNE,9.5,1,site17
sub-NDARINV08P3GNDV,9.916666667,0,site20
sub-NDARINV08R2PTT1,10.83333333,1,site21
sub-NDARINV08UNGWZK,9.0,1,site16
sub-NDARINV08WDFUCE,9.5,1,site07
sub-NDARINV08YFFYY2,10.08333333,0,site15
sub-NDARINV08YLBTNH,10.33333333,1,site19
sub-NDARINV094UXV0J,9.416666667,1,site06
sub-NDARINV095EVLDD,10.25,1,site03
sub-NDARINV097LUBWX,9.833333333,0,site08
sub-NDARINV09AEBLZH,9.916666667,0,site06
sub-NDARINV09AKV10T,9.833333333,1,site13
sub-NDARINV09AUXBBT,9.833333333,1,site13
sub-NDARINV09C3ZNFZ,9.083333333,1,site13
sub-NDARINV09N9CRAL,10.58333333,1,site21
sub-NDARINV09T2EBX4,9.0,0,site13
sub-NDARINV09VBPCLU,9.75,0,site19
sub-NDARINV09ZE6UUK,9.166666667,1,site15
sub-NDARINV0A4P0LWM,9.833333333,1,site13
sub-NDARINV0A4ZDYNL,9.75,1,site05
sub-NDARINV0A6WVRZY,10.33333333,0,site18
sub-NDARINV0A86UD86,9.75,0,site15
sub-NDARINV0A87RKWD,10.41666667,1,site07
sub-NDARINV0A9K5L4R,10.91666667,0,site14
sub-NDARINV0AAKGYA2,10.91666667,0,site10
sub-NDARINV0AEBMADL,10.41666667,0,site05
sub-NDARINV0AF2TMR4,9.083333333,0,site01
sub-NDARINV0AHJHA5D,9.666666667,0,site10
sub-NDARINV0APJMRD1,10.5,0,site21
sub-NDARINV0AU5R8NA,9.75,0,site19
sub-NDARINV0AUBJJJ4,9.666666667,0,site19
sub-NDARINV0AYJMFMW,10.33333333,1,site09
sub-NDARINV0AZFZ65C,9.666666667,0,site01
sub-NDARINV0B3PHZ2W,9.833333333,1,site14
sub-NDARINV0B7UGM1D,9.75,0,site05
sub-NDARINV0BAVEL0T,9.333333333,1,site18
sub-NDARINV0BEHBEJ3,9.75,1,site09
sub-NDARINV0BEPJHU1,9.583333333,0,site07
sub-NDARINV0BG53R96,10.58333333,1,site21
sub-NDARINV0BVP2PTD,10.0,0,site18
sub-NDARINV0BXXNBH4,10.5,1,site16
sub-NDARINV0C1ED337,10.41666667,0,site11
sub-NDARINV0C471G23,10.25,0,site21
sub-NDARINV0C765WK4,10.91666667,0,site16
sub-NDARINV0C7TZ6YW,9.083333333,1,site11
sub-NDARINV0CBFTKR7,9.833333333,1,site19
sub-NDARINV0CBPKF6W,10.16666667,1,site14
sub-NDARINV0CCEN5K2,9.0,1,site16
sub-NDARINV0CCMBWPE,10.75,1,site20
sub-NDARINV0CCVJ39W,10.75,1,site16
sub-NDARINV0CF1U8X8,9.0,1,site16
sub-NDARINV0CKA3YZX,10.33333333,1,site11
sub-NDARINV0CP9XGTP,10.66666667,0,site05
sub-NDARINV0CRTHE21,9.5,1,site19
sub-NDARINV0CTJAAHC,9.833333333,1,site06
sub-NDARINV0CV2Y4YR,10.0,1,site08
sub-NDARINV0CZBUV4C,9.25,1,site16
sub-NDARINV0D0C239B,9.0,0,site17
sub-NDARINV0D4C1R8X,10.91666667,0,site21
sub-NDARINV0D5J9T8P,10.66666667,1,site20
sub-NDARINV0D83M5VE,10.83333333,0,site20
sub-NDARINV0DBRJXKG,10.83333333,0,site14
sub-NDARINV0DC9BJZK,10.66666667,1,site09
sub-NDARINV0DG8XR2P,9.583333333,0,site14
sub-NDARINV0DJJP33V,9.0,1,site07
sub-NDARINV0DKWEM1A,10.75,1,site02
sub-NDARINV0DMRP60R,9.083333333,1,site12
sub-NDARINV0DUXE0ZA,9.583333333,1,site16
sub-NDARINV0DVK13LU,10.58333333,0,site04
sub-NDARINV0DWBRWHT,10.58333333,1,site11
sub-NDARINV0DYF4WPG,9.916666667,0,site08
sub-NDARINV0E1RBR9J,10.25,0,site17
sub-NDARINV0E350J5D,9.416666667,1,site06
sub-NDARINV0E4CT74P,10.0,1,site02
sub-NDARINV0E9UFT0K,10.75,1,site09
sub-NDARINV0EV57VEX,10.75,0,site20
sub-NDARINV0EVRF8BN,10.83333333,0,site06
sub-NDARINV0EWGP0U5,9.0,1,site17
sub-NDARINV0EXY6KFW,10.91666667,0,site03
sub-NDARINV0F3UJ9CT,9.916666667,1,site04
sub-NDARINV0F4JDC6B,9.916666667,1,site17
sub-NDARINV0F82C6R8,10.91666667,1,site17
sub-NDARINV0F959U85,10.41666667,0,site04
sub-NDARINV0FBX6KWX,9.0,1,site01
sub-NDARINV0FCEX8C6,10.33333333,1,site03
sub-NDARINV0FM9MUTU,9.916666667,0,site03
sub-NDARINV0FUC15ZB,10.75,1,site03
sub-NDARINV0FV544H9,9.666666667,1,site05
sub-NDARINV0FZ26GB1,9.583333333,1,site14
sub-NDARINV0FZ2J7TT,10.25,0,site20
sub-NDARINV0G2N59GL,9.0,0,site10
sub-NDARINV0G37YGY1,10.33333333,1,site17
sub-NDARINV0G42TBW1,9.166666667,1,site03
sub-NDARINV0G9MD8JA,9.166666667,1,site09
sub-NDARINV0GND16RW,10.75,0,site10
sub-NDARINV0GUTM6AM,10.91666667,0,site04
sub-NDARINV0GVW93X6,9.333333333,1,site21
sub-NDARINV0GWJ7GFF,9.666666667,0,site18
sub-NDARINV0GYC1NWR,9.0,0,site10
sub-NDARINV0GZ334XA,10.5,1,site13
sub-NDARINV0GZM9UZJ,9.833333333,0,site10
sub-NDARINV0GZN1747,9.0,0,site11
sub-NDARINV0H2AWWPU,10.58333333,1,site04
sub-NDARINV0HALXUFY,10.5,0,site15
sub-NDARINV0HB853U9,9.0,0,site10
sub-NDARINV0HFHMCFZ,10.58333333,0,site18
sub-NDARINV0HH094Z9,10.58333333,1,site20
sub-NDARINV0HJGCR32,9.666666667,0,site12
sub-NDARINV0HL5D3DF,10.0,0,site15
sub-NDARINV0HVEVD01,9.25,0,site02
sub-NDARINV0HXXANFJ,10.91666667,1,site04
sub-NDARINV0J1M2ETU,9.5,1,site14
sub-NDARINV0J2UAG61,9.166666667,0,site01
sub-NDARINV0J6LY05U,9.0,0,site04
sub-NDARINV0J6UAD2Y,9.666666667,0,site19
sub-NDARINV0J9U5XRJ,9.916666667,1,site01
sub-NDARINV0JAG7BGC,9.916666667,0,site13
sub-NDARINV0JGVD4F3,10.91666667,1,site12
sub-NDARINV0JR6Y529,9.5,0,site05
sub-NDARINV0JRNB4U4,10.75,1,site11
sub-NDARINV0JRU5DWA,9.666666667,1,site13
sub-NDARINV0JVUB582,9.333333333,1,site15
sub-NDARINV0JW2EU4V,9.833333333,0,site07
sub-NDARINV0JWEE23L,10.91666667,0,site01
sub-NDARINV0JWTGKAD,10.33333333,1,site18
sub-NDARINV0JXBZBV9,9.083333333,1,site06
sub-NDARINV0K01TWJD,10.08333333,1,site17
sub-NDARINV0K1RBPXM,9.916666667,1,site20
sub-NDARINV0K37T6VD,10.08333333,0,site11
sub-NDARINV0KHYZ082,10.0,1,site19
sub-NDARINV0KPZW3NB,10.25,0,site16
sub-NDARINV0KTEM27A,10.83333333,1,site01
sub-NDARINV0KYBPJ2A,9.166666667,1,site02
sub-NDARINV0KYKANZ6,9.0,0,site04
sub-NDARINV0KZBEH7F,9.166666667,0,site06
sub-NDARINV0L1GB53L,10.66666667,1,site21
sub-NDARINV0L3VJZEL,9.583333333,0,site19
sub-NDARINV0L7K5UMC,10.58333333,0,site03
sub-NDARINV0L7XB3AW,10.41666667,1,site10
sub-NDARINV0L974J49,9.166666667,0,site07
sub-NDARINV0LA6MBBY,9.0,1,site05
sub-NDARINV0LDK94T8,9.083333333,1,site08
sub-NDARINV0LEM88KP,9.833333333,0,site05
sub-NDARINV0LFT420N,9.166666667,0,site06
sub-NDARINV0LKZCJ15,10.66666667,0,site14
sub-NDARINV0LN1KD13,10.08333333,0,site21
sub-NDARINV0LXYGL0Y,9.0,1,site12
sub-NDARINV0M0EWKRV,10.33333333,0,site02
sub-NDARINV0M9U5RX8,9.5,1,site17
sub-NDARINV0MCARYLD,9.583333333,1,site15
sub-NDARINV0MF9V4P1,9.666666667,1,site02
sub-NDARINV0ML93ZXT,9.833333333,1,site05
